"","Index","Artist","Artist.Popularity","Spotify.Followers","Title","Top.Genre","Year","Beats.Per.Minute..BPM.","Energy","Danceability","Loudness..dB.","Liveness","Valence","Length..Duration.","Acousticness","Speechiness","Popularity"
"1",65,"3 Doors Down",74,3672479,"Kryptonite","alternative metal",2000,99,87,55,-6,17,54,234,1,3,77
"2",33,"Adele",90,37246840,"Chasing Pavements","british soul",2008,80,47,62,-6,11,33,211,31,3,63
"3",71,"Adele",90,37246840,"Make You Feel My Love","british soul",2008,77,18,55,-11,11,9,212,89,3,73
"4",18,"Alanis Morissette",72,2207334,"Uninvited","alternative rock",2005,127,54,38,-5,9,19,276,2,3,57
"5",106,"Alicia Keys",83,9664178,"Empire State of Mind (Part II) Broken Down","hip pop",2009,93,37,48,-8,12,14,216,74,3,75
"6",133,"Amy Winehouse",79,7827034,"Love Is A Losing Game","british soul",2006,165,56,48,-6,18,54,154,32,3,67
"7",136,"Amy Winehouse",79,7827034,"You Know I'm No Good","british soul",2006,103,81,71,-4,7,73,257,1,3,74
"8",35,"Amy Winehouse",79,7827034,"Tears Dry On Their Own","british soul",2006,122,87,64,-3,29,45,185,49,12,72
"9",114,"Andre Hazes",66,581252,"Bloed, Zweet En Tranen","dutch pop",2002,68,72,60,-4,35,37,242,8,3,59
"10",103,"Anouk",60,335242,"Girl","dutch indie",2004,136,80,67,-5,6,79,211,1,3,56
"11",87,"Anouk",60,335242,"Modern World","dutch indie",2007,120,76,70,-5,13,68,210,12,6,42
"12",15,"Arctic Monkeys",88,14359107,"Fluorescent Adolescent","garage rock",2007,112,81,65,-5,14,82,173,0,3,66
"13",108,"Armand",66,210593,"Ben Ik Te Min","dutch rock",2009,101,69,62,-7,6,56,208,28,3,47
"14",59,"Backstreet Boys",79,4470084,"I Want It That Way","boy band",2001,99,70,69,-6,16,48,214,22,3,77
"15",49,"Barry White",68,1493169,"You're The First, The Last, My Everything","adult standards",2009,131,72,64,-7,14,80,213,1,4,67
"16",126,"Beyoncé",87,31073006,"Crazy In Love (feat. Jay-Z)","dance pop",2003,99,77,65,-7,7,68,236,0,23,75
"17",121,"Beyoncé",87,31073006,"Single Ladies (Put a Ring on It)","dance pop",2008,193,58,43,-5,19,27,193,4,30,70
"18",58,"Beyoncé",87,31073006,"Listen (From the Motion Picture ""Dreamgirls"")","dance pop",2006,123,59,48,-5,18,20,218,27,5,44
"19",86,"BLØF",64,325418,"Aanzoek Zonder Ringen","dutch pop",2006,160,85,55,-8,32,46,283,2,4,42
"20",94,"BLØF",64,325418,"Blauwe Ruis","dutch pop",2002,130,70,52,-7,13,35,268,4,4,41
"21",52,"BLØF",64,325418,"Dansen Aan Zee","dutch pop",2000,194,43,35,-11,10,26,275,16,3,52
"22",25,"BLØF",64,325418,"Dichterbij Dan Ooit","dutch pop",2002,112,74,65,-7,23,52,261,18,3,16
"23",84,"Blue",74,5065834,"Sorry Seems To Be The Hardest Word","boy band",2004,79,60,56,-7,38,44,210,18,3,58
"24",91,"Boudewijn de Groot",52,165728,"De Vondeling Van Ameland","dutch indie",2007,110,35,39,-10,11,16,306,67,3,19
"25",129,"Bram Vermeulen",35,15015,"De wedstrijd","belgian rock",2006,136,85,58,-6,79,58,302,53,5,42
"26",5,"Bruce Springsteen",79,4770185,"Waitin' On A Sunny Day","classic rock",2002,106,82,58,-5,10,87,256,1,3,59
"27",104,"Bruce Springsteen",79,4770185,"Trapped - Live at Meadowlands Arena, E. Rutherford, NJ - August 1984","classic rock",2003,162,62,32,-6,60,36,308,3,3,40
"28",55,"Christina Aguilera",82,6887347,"Hurt","dance pop",2006,149,30,33,-7,11,14,243,78,3,67
"29",6,"City To City",1,73,"The Road Ahead (Miles Of The Unknown)","alternative pop rock",2004,99,46,54,-9,14,14,247,0,2,45
"30",88,"Claw Boys Claw",35,8512,"Rosie","dutch indie",2007,100,55,59,-12,11,64,264,47,3,43
"31",137,"Coldplay",92,35478011,"Talk","permanent wave",2005,120,56,41,-11,16,16,311,1,3,63
"32",21,"Coldplay",92,35478011,"Fix You","permanent wave",2005,138,42,21,-9,11,12,296,16,3,81
"33",17,"Coldplay",92,35478011,"Speed of Sound","permanent wave",2005,123,90,52,-7,7,36,288,0,6,69
"34",31,"Coldplay",92,35478011,"The Scientist","permanent wave",2002,146,44,56,-7,11,21,310,73,2,84
"35",118,"Daft Punk",84,8857138,"Harder, Better, Faster, Stronger","electro",2001,123,72,82,-9,36,69,225,4,14,71
"36",89,"David Bowie",81,8067256,"This Is Not America - 2002 Remaster","album rock",2002,115,67,72,-12,5,65,231,6,4,43
"37",13,"De Dijk",53,109372,"Als Het Golft","dutch indie",2000,102,88,54,-6,53,59,214,2,3,34
"38",2,"Deep Purple",71,4530712,"Black Night","album rock",2000,135,79,50,-11,17,81,207,17,7,39
"39",63,"Doe Maar",59,109184,"Smoorverliefd","dutch cabaret",2008,166,75,70,-9,19,91,195,13,10,48
"40",27,"Editors",61,662684,"Smokers Outside the Hospital Doors","alternative dance",2007,123,68,53,-4,12,55,298,0,4,56
"41",130,"Editors",61,662684,"Papillon","alternative dance",2009,126,95,51,-5,30,63,324,0,6,56
"42",80,"Elbow",60,459804,"One Day Like This","britpop",2009,159,67,43,-6,14,38,394,9,3,45
"43",56,"Elbow",60,459804,"Grounds for Divorce","britpop",2009,92,76,52,-5,57,63,219,42,3,43
"44",11,"Elvis Presley",80,6527430,"Love Me Tender","adult standards",2002,109,5,44,-16,11,31,162,88,4,49
"45",145,"Elvis Presley",80,6527430,"A Little Less Conversation - JXL Radio Edit Remix","adult standards",2002,115,97,60,-6,13,72,212,0,5,64
"46",28,"Eminem",95,55036747,"Cleanin' Out My Closet","detroit hip hop",2002,148,76,91,-5,8,87,298,7,17,71
"47",115,"Eminem",95,55036747,"Lose Yourself - From ""8 Mile"" Soundtrack","detroit hip hop",2005,171,74,69,-5,36,6,326,1,26,77
